RA,ANO,FASE,TURMA,IDADE,GENERO,ANO_INGRESSO,ANOS_NA_PM,INSTITUICAO,INSTITUICAO_GRUPO,PEDRA,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,MAT,POR,ING,FASE_IDEAL,DEFASAGEM,CLASSE_DEFASAGEM,EM_DEFASAGEM,PONTO_VIRADA,N_AVALIACOES,SEM_AVALIACAO,IAA_ZERADO,DEFASAGEM_T1,IAN_T1,INDE_T1,IDA_T1,IEG_T1,PEDRA_T1,FASE_T1,DEFASADO_T1,PIOROU_DEFASAGEM,RISCO_DEFASAGEM,QUEDA_INDE
RA-246,2023,4.0,4F,14.0,Masculino,2022,1,Privada,Privada/Bolsa,Topázio,8.256766667,10.0,6.8,9.9,8.8,4.39,8.125,8.9175,7.7,7.0,5.8,4.0,0,Em fase,0,,4.0,False,0,2,10.0,4.7404,0.0,0.0,Quartzo,7.0,0,0,0,1.0
RA-239,2023,4.0,4G,16.0,Feminino,2021,2,Pública,Pública,Ágata,6.411333333,5.0,7.0,8.4,,5.0,8.125,7.6275,6.0,7.2,7.7,6.0,-2,Moderada,1,,4.0,False,1,-3,2.5,6.782180868800001,6.666666666666667,6.361737677333333,Ágata,4.0,1,1,1,0.0
RA-262,2023,4.0,4G,16.0,Masculino,2021,2,Privada,Privada/Bolsa,Quartzo,4.406458333,5.0,3.8,3.7,,5.0,7.03125,6.05,5.0,3.3,3.0,6.0,-2,Moderada,1,,4.0,False,1,-2,5.0,5.806145462066667,4.166666666666667,4.854560643666667,Quartzo,4.0,1,0,1,0.0
RA-397,2023,4.0,4G,15.0,Feminino,2017,6,Pública,Pública,Ágata,6.207083333,5.0,4.6,7.9,7.5,2.52,7.1875,7.465,6.7,5.0,2.0,5.0,-1,Moderada,1,,4.0,False,0,-2,5.0,6.807291921866668,5.666666666666667,7.885292942666666,Ágata,4.0,1,1,1,0.0
RA-1188,2023,4.0,4H,15.0,Feminino,2023,0,Pública,Pública,,,5.0,6.4,9.4,9.6,,7.8125,7.5875,6.5,7.5,5.2,5.0,-1,Moderada,1,,4.0,False,0,-1,5.0,7.801633333400001,7.0,10.0,Ametista,5.0,1,0,1,
RA-267,2023,4.0,4H,16.0,Feminino,2016,7,Pública,Pública,,,5.0,2.7,7.7,7.9,,4.6875,6.505,2.7,4.0,1.3,6.0,-2,Moderada,1,,4.0,False,0,-2,5.0,5.8963067819666675,2.0,8.285533910333333,Quartzo,5.0,1,0,1,
RA-1189,2023,4.0,4H,15.0,Feminino,2023,0,Pública,Pública,,,5.0,6.1,9.0,8.8,,7.8125,7.3775,6.3,5.7,6.2,5.0,-1,Moderada,1,,4.0,False,0,-1,5.0,7.6486387164,7.666666666666667,8.672360248333332,Ametista,5.0,1,0,1,
RA-269,2023,4.0,4L,14.0,Masculino,2022,1,Pública,Pública,Topázio,8.116041667,10.0,7.4,9.0,9.6,2.52,8.59375,8.7975,8.0,7.3,7.0,4.0,0,Em fase,0,,4.0,False,0,2,10.0,8.4773,8.200000000000001,9.6,Topázio,7.0,0,0,0,0.0
RA-313,2023,4.0,4L,14.0,Feminino,2022,1,Pública,Pública,Ametista,7.011091667,10.0,3.9,8.7,9.2,2.52,7.65625,7.75,4.0,2.8,5.0,4.0,0,Em fase,0,,4.0,False,0,-1,5.0,7.2528500000000005,4.833333333333333,9.666666666666666,Ametista,4.0,1,1,1,0.0
RA-301,2023,4.0,4L,14.0,Feminino,2019,4,Pública,Pública,Ágata,6.760341667,10.0,5.2,5.4,9.2,7.52,6.71875,6.465,4.7,6.5,4.5,4.0,0,Em fase,0,,4.0,False,0,0,10.0,8.410830701766667,9.0,7.4947368423333325,Topázio,4.0,0,0,0,0.0
RA-286,2023,4.0,4L,15.0,Feminino,2022,1,Pública,Pública,Quartzo,5.713333333,5.0,4.7,7.5,,5.0,8.125,7.3375,3.7,5.0,5.3,5.0,-1,Moderada,1,,4.0,False,1,-1,5.0,5.123180882333333,3.1666666666666665,4.031862745000001,Quartzo,5.0,1,0,1,1.0
RA-1193,2023,4.0,4L,14.0,Feminino,2023,0,Pública,Pública,Ágata,6.018083333,10.0,4.1,7.8,,5.0,7.1875,7.13,3.7,3.5,5.0,4.0,0,Em fase,0,,4.0,False,1,-1,5.0,6.6304815790000005,4.0,7.763157895,Ágata,4.0,1,1,1,0.0
RA-308,2023,4.0,4L,14.0,Masculino,2019,4,Pública,Pública,Ágata,6.578558333,10.0,4.9,6.8,5.4,5.0,7.03125,7.5025,4.7,5.2,4.7,4.0,0,Em fase,0,,4.0,False,0,1,10.0,7.489282456133334,6.5,8.714912280666667,Ametista,5.0,0,0,0,0.0
