RA,ANO,FASE,TURMA,IDADE,GENERO,ANO_INGRESSO,ANOS_NA_PM,INSTITUICAO,INSTITUICAO_GRUPO,PEDRA,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,MAT,POR,ING,FASE_IDEAL,DEFASAGEM,CLASSE_DEFASAGEM,EM_DEFASAGEM,PONTO_VIRADA,N_AVALIACOES,SEM_AVALIACAO,IAA_ZERADO
RA-600,2022,1.0,L,9.0,Feminino,2021,1,Escola Pública,Pública,Ágata,7.011,10.0,3.9,8.4,8.5,7.5,,6.833,2.8,5.0,,1.0,0,Em fase,0,0.0,3.0,False,0
RA-601,2022,1.0,L,8.0,Masculino,2021,1,Escola Pública,Pública,Ametista,7.713,10.0,5.7,9.7,9.0,7.5,,7.167,5.3,6.0,,0.0,1,Em fase,0,0.0,3.0,False,0
RA-602,2022,1.0,L,11.0,Masculino,2019,3,Escola Pública,Pública,Ametista,8.041,5.0,8.6,9.7,10.0,7.5,,7.667,8.3,8.8,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-603,2022,1.0,L,11.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.78,5.0,7.5,9.5,9.0,7.5,,8.0,6.7,8.3,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-604,2022,1.0,L,10.0,Feminino,2021,1,Escola Pública,Pública,Ametista,8.018,5.0,8.8,9.0,9.0,7.5,,8.333,8.0,9.7,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-605,2022,1.0,L,12.0,Feminino,2021,1,Escola Pública,Pública,Ametista,7.276,5.0,7.1,9.3,6.9,6.9,,7.556,6.2,8.0,,3.0,-2,Moderada,1,0.0,3.0,False,0
RA-606,2022,1.0,L,10.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.127,5.0,1.8,9.0,9.5,7.5,,6.111,2.0,1.5,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-607,2022,1.0,L,10.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.44,5.0,4.0,8.1,6.8,7.5,,7.444,3.0,5.0,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-608,2022,1.0,L,10.0,Masculino,2022,0,Escola Pública,Pública,Ametista,7.216,5.0,6.3,9.6,7.8,7.5,,7.222,3.0,9.5,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-609,2022,1.0,L,11.0,Masculino,2019,3,Escola Pública,Pública,Ágata,6.794,5.0,6.0,7.6,8.5,7.5,,7.056,6.5,5.5,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-610,2022,1.0,L,9.0,Feminino,2022,0,Escola Pública,Pública,Topázio,8.18,10.0,6.5,9.6,9.0,7.5,,8.5,6.0,7.0,,1.0,0,Em fase,0,1.0,3.0,False,0
RA-611,2022,1.0,M,12.0,Masculino,2021,1,Escola Pública,Pública,Ametista,7.756,5.0,9.5,7.6,9.5,7.5,,7.556,10.0,9.0,,3.0,-2,Moderada,1,0.0,3.0,False,0
RA-612,2022,1.0,M,10.0,Feminino,2021,1,Escola Pública,Pública,Ametista,7.594,5.0,7.9,9.2,9.0,7.5,,7.167,9.7,6.2,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-613,2022,1.0,M,13.0,Masculino,2020,2,Escola Pública,Pública,Topázio,8.121,5.0,9.2,9.2,9.0,7.5,,8.556,9.2,9.2,,3.0,-2,Moderada,1,1.0,3.0,False,0
RA-614,2022,1.0,M,12.0,Masculino,2021,1,Escola Pública,Pública,Topázio,8.339,5.0,9.6,9.7,9.5,7.5,,8.278,9.8,9.3,,3.0,-2,Moderada,1,0.0,3.0,False,0
RA-615,2022,1.0,M,9.0,Feminino,2020,2,Escola Pública,Pública,Topázio,8.086,10.0,7.3,9.7,9.5,7.5,,6.889,7.8,6.7,,1.0,0,Em fase,0,0.0,3.0,False,0
RA-616,2022,1.0,M,12.0,Masculino,2019,3,Escola Pública,Pública,Ametista,7.303,5.0,8.8,7.4,7.4,7.5,,7.278,9.2,8.5,,3.0,-2,Moderada,1,0.0,3.0,False,0
RA-617,2022,1.0,M,11.0,Feminino,2021,1,Escola Pública,Pública,Ametista,7.107,5.0,6.3,8.9,8.5,7.5,,6.778,4.5,8.0,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-618,2022,1.0,M,13.0,Masculino,2020,2,Escola Pública,Pública,Ametista,7.18,5.0,6.7,8.3,8.9,7.5,,7.333,6.8,6.5,,3.0,-2,Moderada,1,0.0,3.0,False,0
RA-619,2022,1.0,M,11.0,Feminino,2021,1,Escola Pública,Pública,Ametista,7.693,5.0,9.0,8.0,9.5,7.5,,7.333,9.2,8.8,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-620,2022,1.0,M,12.0,Masculino,2021,1,Escola Pública,Pública,Ágata,6.018,5.0,6.8,7.5,,7.5,,6.833,8.5,5.0,,3.0,-2,Moderada,1,0.0,3.0,False,1
RA-621,2022,1.0,M,10.0,Masculino,2020,2,Escola Pública,Pública,Ametista,7.448,5.0,7.5,7.7,9.5,7.5,,8.222,6.8,8.2,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-622,2022,1.0,N,12.0,Feminino,2019,3,Escola Pública,Pública,Quartzo,4.934,5.0,3.8,3.8,3.5,7.5,,6.0,4.8,2.7,,3.0,-2,Moderada,1,0.0,3.0,False,0
RA-623,2022,1.0,N,13.0,Masculino,2022,0,Escola Pública,Pública,Ametista,7.524,5.0,8.3,9.0,7.5,7.5,,7.389,9.3,7.2,,3.0,-2,Moderada,1,0.0,3.0,False,0
RA-624,2022,1.0,N,10.0,Masculino,2022,0,Escola Pública,Pública,Ametista,7.425,5.0,6.8,8.9,9.0,7.5,,7.722,8.0,5.5,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-625,2022,1.0,N,11.0,Masculino,2022,0,Escola Pública,Pública,Ametista,7.483,5.0,7.8,9.2,8.0,7.5,,7.333,8.5,7.0,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-626,2022,1.0,N,11.0,Masculino,2021,1,Escola Pública,Pública,Quartzo,5.818,5.0,1.3,7.6,7.4,7.5,,7.278,2.5,0.0,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-627,2022,1.0,N,10.0,Feminino,2022,0,Escola Pública,Pública,Ágata,6.621,5.0,6.5,6.7,7.0,7.5,,7.0,6.2,6.8,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-628,2022,1.0,N,11.0,Masculino,2022,0,Escola Pública,Pública,Ametista,7.577,5.0,9.2,7.6,9.5,7.5,,7.333,9.3,9.0,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-629,2022,1.0,N,9.0,Masculino,2022,0,Escola Pública,Pública,Topázio,8.11,10.0,7.0,10.0,9.0,7.5,,7.278,5.0,9.0,,1.0,0,Em fase,0,0.0,3.0,False,0
RA-630,2022,1.0,N,9.0,Masculino,2022,0,Escola Pública,Pública,Topázio,8.064,10.0,7.3,9.2,9.5,7.5,,7.278,6.5,8.0,,1.0,0,Em fase,0,0.0,3.0,False,0
RA-631,2022,1.0,N,12.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.928,5.0,7.0,6.8,8.5,7.5,,7.222,7.3,6.7,,3.0,-2,Moderada,1,0.0,3.0,False,0
RA-632,2022,1.0,P,10.0,Feminino,2022,0,Escola Pública,Pública,Ágata,6.996,5.0,6.3,9.3,8.5,6.9,,6.722,5.5,7.2,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-633,2022,1.0,P,11.0,Feminino,2020,2,Escola Pública,Pública,Ametista,7.476,5.0,7.7,8.9,7.3,7.5,,7.833,6.8,8.5,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-634,2022,1.0,P,11.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.619,5.0,6.5,9.4,9.5,7.5,,8.222,8.0,5.0,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-635,2022,1.0,P,10.0,Masculino,2022,0,Escola Pública,Pública,Quartzo,5.313,5.0,1.5,4.9,10.0,6.9,,6.444,0.5,2.5,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-636,2022,1.0,P,10.0,Masculino,2022,0,Escola Pública,Pública,Ametista,7.189,5.0,7.3,8.0,8.5,6.9,,7.389,7.3,7.3,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-637,2022,1.0,P,10.0,Feminino,2021,1,Escola Pública,Pública,Ametista,7.039,5.0,5.8,9.0,8.5,7.5,,7.0,4.8,6.8,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-638,2022,1.0,P,9.0,Feminino,2020,2,Escola Pública,Pública,Ametista,7.059,10.0,3.9,9.3,8.5,7.5,,6.278,2.0,5.8,,1.0,0,Em fase,0,0.0,3.0,False,0
RA-639,2022,1.0,P,10.0,Feminino,2021,1,Escola Pública,Pública,Ágata,6.613,5.0,5.5,7.4,8.5,7.5,,6.611,3.2,7.8,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-640,2022,1.0,P,11.0,Feminino,2022,0,Escola Pública,Pública,Ágata,6.73,5.0,4.8,8.4,9.0,7.5,,6.778,2.5,7.0,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-641,2022,1.0,P,9.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.776,10.0,6.5,9.3,9.0,7.5,,6.778,4.5,8.5,,1.0,0,Em fase,0,0.0,3.0,False,0
RA-642,2022,1.0,P,10.0,Feminino,2021,1,Escola Pública,Pública,Ametista,7.75,5.0,7.3,9.7,10.0,6.9,,7.778,7.0,7.7,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-643,2022,1.0,P,10.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.763,5.0,6.2,8.0,9.0,7.5,,6.722,6.3,6.0,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-644,2022,1.0,P,11.0,Feminino,2021,1,Escola Pública,Pública,Ametista,7.83,5.0,8.8,8.0,9.5,7.5,,8.278,9.7,8.0,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-645,2022,1.0,P,10.0,Feminino,2022,0,Escola Pública,Pública,Ágata,6.086,5.0,2.0,8.1,8.5,7.5,,6.833,4.0,0.0,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-646,2022,1.0,R,13.0,Masculino,2019,3,Escola Pública,Pública,Topázio,8.181,5.0,8.4,9.8,8.5,8.1,,8.389,8.8,8.0,,3.0,-2,Moderada,1,1.0,3.0,False,0
RA-647,2022,1.0,R,10.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.606,5.0,3.3,8.6,9.5,7.5,,7.278,1.5,5.2,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-648,2022,1.0,R,12.0,Masculino,2019,3,Escola Pública,Pública,Ágata,6.736,5.0,5.3,7.5,9.0,6.9,,7.5,5.0,5.5,,3.0,-2,Moderada,1,0.0,3.0,False,0
RA-649,2022,1.0,R,12.0,Feminino,2019,3,Escola Pública,Pública,Ametista,7.302,5.0,7.4,8.9,8.5,5.6,,7.611,6.3,8.5,,3.0,-2,Moderada,1,0.0,3.0,False,0
RA-650,2022,1.0,R,11.0,Feminino,2021,1,Escola Pública,Pública,Ágata,7.004,5.0,6.9,8.7,6.9,5.6,,7.5,5.5,8.3,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-651,2022,1.0,R,10.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.866,5.0,7.8,9.3,8.5,7.5,,8.333,7.7,7.8,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-652,2022,1.0,R,9.0,Feminino,2022,0,Escola Pública,Pública,Topázio,8.151,10.0,7.8,9.6,8.0,7.5,,7.5,7.0,8.5,,1.0,0,Em fase,0,0.0,3.0,False,0
RA-653,2022,1.0,R,11.0,Feminino,2022,0,Escola Pública,Pública,Topázio,8.101,5.0,9.3,9.6,9.5,7.5,,7.5,9.5,9.0,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-654,2022,1.0,R,12.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.308,5.0,6.8,8.6,8.5,7.5,,7.556,5.5,8.0,,3.0,-2,Moderada,1,0.0,3.0,False,0
RA-655,2022,1.0,R,12.0,Feminino,2019,3,Escola Pública,Pública,Ametista,7.785,5.0,8.3,9.2,7.5,7.5,,8.389,8.3,8.2,,3.0,-2,Moderada,1,1.0,3.0,False,0
RA-656,2022,1.0,R,11.0,Feminino,2020,2,Escola Pública,Pública,Ágata,6.652,5.0,6.3,7.5,7.4,5.6,,7.5,5.0,7.5,,2.0,-1,Moderada,1,0.0,3.0,False,0
RA-657,2022,1.0,R,12.0,Feminino,2021,1,Escola Pública,Pública,Topázio,8.093,5.0,9.0,9.8,9.5,7.5,,7.5,9.0,9.0,,3.0,-2,Moderada,1,0.0,3.0,False,0
RA-658,2022,1.0,U,10.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.407,5.0,5.6,9.3,10.0,7.5,,7.917,4.7,6.5,,2.0,-1,Moderada,1,0.0,2.0,False,0
RA-659,2022,1.0,U,10.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.783,5.0,9.3,7.8,8.0,7.5,,8.333,9.5,9.0,,2.0,-1,Moderada,1,0.0,2.0,False,0
RA-660,2022,1.0,U,9.0,Feminino,2021,1,Escola Pública,Pública,Topázio,8.363,10.0,6.9,9.0,9.5,7.5,,9.083,5.8,8.0,,1.0,0,Em fase,0,1.0,2.0,False,0
RA-661,2022,1.0,U,11.0,Masculino,2022,0,Escola Pública,Pública,Ametista,7.593,5.0,7.8,8.3,9.0,7.5,,7.917,8.3,7.3,,2.0,-1,Moderada,1,0.0,2.0,False,0
RA-662,2022,1.0,U,11.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.044,5.0,6.8,8.8,9.0,7.5,,6.083,5.7,7.8,,2.0,-1,Moderada,1,0.0,2.0,False,0
RA-663,2022,1.0,U,10.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.376,5.0,5.8,8.7,6.9,7.5,,5.25,5.0,6.5,,2.0,-1,Moderada,1,0.0,2.0,False,0
RA-664,2022,1.0,U,10.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.277,5.0,6.3,8.8,9.5,7.5,,7.167,5.0,7.5,,2.0,-1,Moderada,1,0.0,2.0,False,0
RA-665,2022,1.0,U,11.0,Feminino,2022,0,Escola Pública,Pública,Ágata,6.996,5.0,6.8,7.4,9.0,7.5,,7.25,6.5,7.0,,2.0,-1,Moderada,1,0.0,2.0,False,0
RA-666,2022,1.0,U,10.0,Masculino,2022,0,Escola Pública,Pública,Ametista,7.929,5.0,7.8,9.1,9.5,7.5,,8.833,8.0,7.5,,2.0,-1,Moderada,1,1.0,2.0,False,0
RA-667,2022,1.0,U,11.0,Masculino,2021,1,Escola Pública,Pública,Quartzo,5.844,5.0,4.5,5.6,8.5,7.5,,5.833,3.7,5.3,,2.0,-1,Moderada,1,0.0,2.0,False,0
RA-668,2022,1.0,U,11.0,Masculino,2022,0,Escola Pública,Pública,Quartzo,4.365,5.0,2.8,3.3,6.9,7.5,,3.75,2.8,2.8,,2.0,-1,Moderada,1,0.0,2.0,False,0
RA-669,2022,1.0,U,11.0,Masculino,2022,0,Escola Pública,Pública,Ametista,7.475,5.0,6.0,9.7,9.0,7.5,,7.833,5.0,7.0,,2.0,-1,Moderada,1,0.0,2.0,False,0
RA-670,2022,1.0,U,10.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.451,5.0,6.9,8.8,8.0,7.5,,8.167,6.5,7.3,,2.0,-1,Moderada,1,0.0,2.0,False,0
RA-671,2022,0.0,A,9.0,Masculino,2021,1,Escola Pública,Pública,Ametista,7.617,5.0,8.8,8.2,8.5,8.1,,7.417,8.8,8.8,,1.0,-1,Moderada,1,0.0,2.0,False,0
RA-672,2022,0.0,A,9.0,Feminino,2021,1,Escola Pública,Pública,Ametista,7.48,5.0,8.8,8.5,8.5,8.1,,6.75,8.5,9.1,,1.0,-1,Moderada,1,0.0,2.0,False,0
RA-673,2022,0.0,A,8.0,Feminino,2022,0,Escola Pública,Pública,Topázio,8.65,10.0,9.2,9.2,8.5,8.1,,8.583,9.4,8.9,,0.0,0,Em fase,0,1.0,2.0,False,0
RA-674,2022,0.0,A,8.0,Masculino,2022,0,Escola Pública,Pública,Ametista,7.862,10.0,8.0,8.7,9.5,8.1,,6.333,8.9,7.0,,0.0,0,Em fase,0,0.0,2.0,False,0
RA-675,2022,0.0,A,8.0,Masculino,2022,0,Escola Pública,Pública,Ametista,7.576,10.0,7.4,6.6,10.0,8.1,,7.083,8.8,5.9,,0.0,0,Em fase,0,0.0,2.0,False,0
RA-676,2022,0.0,A,9.0,Masculino,2021,1,Escola Pública,Pública,Ametista,7.911,5.0,9.3,8.6,8.5,8.1,,8.167,9.5,9.1,,1.0,-1,Moderada,1,0.0,2.0,False,0
RA-677,2022,0.0,B,8.0,Feminino,2021,1,Escola Pública,Pública,Topázio,8.358,10.0,7.3,9.4,10.0,7.5,,8.583,7.7,6.8,,0.0,0,Em fase,0,1.0,2.0,False,0
RA-678,2022,0.0,B,9.0,Masculino,2022,0,Escola Pública,Pública,Ametista,8.0,5.0,7.3,10.0,9.0,6.9,,9.5,7.5,7.0,,1.0,-1,Moderada,1,1.0,2.0,False,0
RA-679,2022,0.0,B,10.0,Masculino,2020,2,Escola Pública,Pública,Ametista,7.172,5.0,6.3,8.2,9.0,7.5,,7.833,6.7,5.8,,2.0,-2,Moderada,1,0.0,2.0,False,0
RA-680,2022,0.0,B,10.0,Feminino,2019,3,Escola Pública,Pública,Ametista,7.518,5.0,7.4,8.8,9.5,7.5,,7.75,8.0,6.8,,2.0,-2,Moderada,1,0.0,2.0,False,0
RA-681,2022,0.0,B,10.0,Masculino,2022,0,Escola Pública,Pública,Ametista,7.204,5.0,6.5,8.5,8.5,6.9,,8.0,6.5,6.5,,2.0,-2,Moderada,1,0.0,2.0,False,0
RA-682,2022,0.0,B,11.0,Masculino,2022,0,Escola Pública,Pública,Ametista,7.625,5.0,7.0,9.1,9.5,7.5,,8.083,7.0,7.0,,2.0,-2,Moderada,1,0.0,2.0,False,0
RA-683,2022,0.0,C,10.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.011,5.0,4.0,5.0,7.9,7.5,,8.083,8.0,0.0,,2.0,-2,Moderada,1,0.0,2.0,False,0
RA-684,2022,0.0,C,7.0,Masculino,2022,0,Escola Pública,Pública,Topázio,8.26,10.0,9.3,7.5,9.5,8.1,,7.917,9.0,9.6,,0.0,0,Em fase,0,0.0,2.0,False,0
RA-685,2022,0.0,C,9.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.864,5.0,8.0,6.2,9.0,5.0,,7.833,8.0,8.0,,1.0,-1,Moderada,1,0.0,2.0,False,0
RA-686,2022,0.0,D,9.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.729,5.0,8.8,8.6,7.5,8.1,,8.083,9.2,8.5,,1.0,-1,Moderada,1,0.0,2.0,False,0
RA-687,2022,0.0,D,9.0,Masculino,2022,0,Escola Pública,Pública,Ametista,7.703,5.0,8.3,9.0,8.5,8.1,,8.0,9.0,7.5,,1.0,-1,Moderada,1,0.0,2.0,False,0
RA-688,2022,0.0,D,9.0,Masculino,2022,0,Escola Pública,Pública,Ametista,7.771,5.0,7.9,9.7,8.5,7.5,,7.917,8.0,7.8,,1.0,-1,Moderada,1,0.0,2.0,False,0
RA-689,2022,0.0,D,9.0,Feminino,2022,0,Escola Pública,Pública,Ágata,6.433,5.0,5.8,7.9,7.4,5.6,,6.667,6.0,5.5,,1.0,-1,Moderada,1,0.0,2.0,False,0
RA-690,2022,0.0,D,9.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.541,5.0,7.0,9.5,9.5,7.5,,7.417,7.2,6.8,,1.0,-1,Moderada,1,0.0,2.0,False,0
RA-691,2022,0.0,D,8.0,Feminino,2022,0,Escola Pública,Pública,Topázio,8.68,10.0,9.4,9.2,10.0,8.1,,7.917,9.6,9.3,,0.0,0,Em fase,0,0.0,2.0,False,0
RA-692,2022,0.0,D,9.0,Feminino,2021,1,Escola Pública,Pública,Ametista,7.569,5.0,6.9,8.9,9.5,8.1,,7.917,7.0,6.8,,1.0,-1,Moderada,1,0.0,2.0,False,0
RA-693,2022,0.0,D,7.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.944,10.0,5.7,9.8,9.5,8.1,,7.667,5.0,6.3,,0.0,0,Em fase,0,0.0,2.0,False,0
RA-694,2022,0.0,D,8.0,Masculino,2022,0,Escola Pública,Pública,Topázio,8.378,10.0,8.1,9.0,10.0,8.1,,7.917,8.2,8.0,,0.0,0,Em fase,0,0.0,2.0,False,0
RA-695,2022,0.0,E,8.0,Feminino,2021,1,Escola Pública,Pública,Quartzo,4.28,10.0,2.5,3.1,9.0,7.5,,2.5,2.2,2.8,,0.0,0,Em fase,0,0.0,2.0,False,0
RA-696,2022,0.0,E,9.0,Feminino,2021,1,Escola Pública,Pública,Ametista,7.441,5.0,6.6,9.0,8.5,7.5,,8.167,6.5,6.7,,1.0,-1,Moderada,1,0.0,2.0,False,0
RA-697,2022,0.0,E,11.0,Masculino,2021,1,Escola Pública,Pública,Ametista,7.675,5.0,8.4,9.3,7.0,7.5,,8.083,8.8,8.0,,2.0,-2,Moderada,1,0.0,2.0,False,0
RA-698,2022,0.0,E,9.0,Masculino,2021,1,Escola Pública,Pública,Ametista,7.44,5.0,8.1,9.8,9.0,2.5,,8.083,8.0,8.2,,1.0,-1,Moderada,1,0.0,2.0,False,0
RA-699,2022,0.0,E,9.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.658,5.0,7.1,9.2,5.2,7.5,,6.0,7.5,6.7,,1.0,-1,Moderada,1,0.0,2.0,False,0
RA-700,2022,0.0,F,9.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.738,5.0,9.2,8.7,9.0,7.5,,7.083,9.2,9.2,,1.0,-1,Moderada,1,0.0,2.0,False,0
RA-701,2022,0.0,F,10.0,Masculino,2021,1,Escola Pública,Pública,Ametista,7.755,5.0,8.7,9.3,9.0,7.5,,7.417,8.7,8.7,,2.0,-2,Moderada,1,0.0,2.0,False,0
RA-702,2022,0.0,F,8.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.387,10.0,6.8,8.6,10.0,5.0,,7.0,7.0,6.7,,0.0,0,Em fase,0,0.0,2.0,False,0
RA-703,2022,0.0,F,10.0,Masculino,2021,1,Escola Pública,Pública,Ágata,6.099,5.0,5.1,7.4,7.5,5.0,,6.833,5.3,4.8,,2.0,-2,Moderada,1,0.0,2.0,False,0
RA-704,2022,0.0,F,10.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.741,5.0,7.2,8.6,9.0,5.0,,6.583,7.7,6.6,,2.0,-2,Moderada,1,0.0,2.0,False,0
RA-705,2022,0.0,F,10.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.634,5.0,7.1,6.2,9.5,7.5,,6.333,7.0,7.2,,2.0,-2,Moderada,1,0.0,2.0,False,0
RA-706,2022,0.0,F,10.0,Feminino,2021,1,Escola Pública,Pública,Ametista,7.659,5.0,9.1,6.7,9.5,7.5,,8.417,9.1,9.1,,2.0,-2,Moderada,1,1.0,2.0,False,0
RA-707,2022,0.0,F,10.0,Feminino,2020,2,Escola Pública,Pública,Ametista,7.679,5.0,8.5,8.1,10.0,6.9,,8.083,8.8,8.2,,2.0,-2,Moderada,1,0.0,2.0,False,0
RA-708,2022,0.0,F,9.0,Masculino,2022,0,Escola Pública,Pública,Ametista,7.282,5.0,7.3,8.4,8.0,7.5,,7.583,7.1,7.6,,1.0,-1,Moderada,1,0.0,2.0,False,0
RA-709,2022,0.0,F,10.0,Feminino,2022,0,Escola Pública,Pública,Quartzo,5.313,5.0,2.3,3.5,9.5,7.5,,7.083,2.3,2.3,,2.0,-2,Moderada,1,0.0,2.0,False,0
RA-710,2022,0.0,G,10.0,Masculino,2020,2,Escola Pública,Pública,Ametista,7.285,5.0,6.9,8.9,9.5,5.0,,8.0,7.0,6.8,,2.0,-2,Moderada,1,0.0,2.0,False,0
RA-711,2022,0.0,G,9.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.04,5.0,3.5,7.9,9.0,6.3,,6.0,4.0,3.0,,1.0,-1,Moderada,1,0.0,2.0,False,0
RA-712,2022,0.0,G,11.0,Masculino,2019,3,Escola Pública,Pública,Ágata,6.026,5.0,8.0,5.1,8.0,5.0,,5.833,8.7,7.3,,2.0,-2,Moderada,1,0.0,2.0,False,0
RA-713,2022,0.0,G,9.0,Masculino,2021,1,Escola Pública,Pública,Ametista,7.42,5.0,7.8,8.7,10.0,7.5,,7.25,8.0,7.7,,1.0,-1,Moderada,1,0.0,2.0,False,0
RA-714,2022,0.0,G,11.0,Masculino,2019,3,Escola Pública,Pública,Ágata,6.953,5.0,8.0,6.9,9.0,5.6,,7.25,8.5,7.5,,2.0,-2,Moderada,1,0.0,2.0,False,0
RA-715,2022,0.0,G,9.0,Feminino,2022,0,Escola Pública,Pública,Ágata,6.656,5.0,4.9,8.7,8.5,4.4,,7.917,4.8,5.0,,1.0,-1,Moderada,1,0.0,2.0,False,0
RA-716,2022,0.0,G,9.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.525,5.0,6.7,8.1,8.9,7.5,,5.417,7.3,6.0,,1.0,-1,Moderada,1,0.0,2.0,False,0
RA-717,2022,0.0,G,10.0,Feminino,2021,1,Escola Pública,Pública,Ágata,6.832,5.0,5.4,7.3,9.0,7.5,,7.917,5.0,5.8,,2.0,-2,Moderada,1,0.0,2.0,False,0
RA-718,2022,0.0,G,8.0,Feminino,2022,0,Escola Pública,Pública,Topázio,8.093,10.0,9.2,8.9,8.0,6.3,,7.417,9.2,9.2,,0.0,0,Em fase,0,0.0,2.0,False,0
RA-719,2022,0.0,G,10.0,Feminino,2021,1,Escola Pública,Pública,Quartzo,5.552,5.0,4.2,4.6,9.0,7.5,,6.083,5.0,3.3,,2.0,-2,Moderada,1,0.0,2.0,False,0
RA-720,2022,0.0,G,9.0,Feminino,2021,1,Escola Pública,Pública,Ágata,6.731,5.0,7.6,5.9,8.0,7.5,,7.083,7.3,7.8,,1.0,-1,Moderada,1,0.0,2.0,False,0
RA-721,2022,0.0,G,8.0,Feminino,2021,1,Escola Pública,Pública,Ametista,7.973,10.0,7.6,8.1,9.5,7.5,,7.917,8.2,7.0,,0.0,0,Em fase,0,0.0,2.0,False,0
RA-722,2022,0.0,G,9.0,Feminino,2021,1,Escola Pública,Pública,Ametista,7.41,5.0,8.1,8.1,10.0,4.4,,8.333,7.8,8.3,,1.0,-1,Moderada,1,0.0,2.0,False,0
RA-723,2022,0.0,H,8.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.426,10.0,5.5,6.6,10.0,8.1,,8.167,5.3,5.7,,0.0,0,Em fase,0,0.0,2.0,False,0
RA-724,2022,0.0,H,8.0,Feminino,2022,0,Escola Pública,Pública,Ágata,6.931,10.0,5.6,5.9,9.5,5.6,,8.0,2.9,8.3,,0.0,0,Em fase,0,0.0,2.0,False,0
RA-725,2022,0.0,H,8.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.33,10.0,5.0,5.9,8.0,8.1,,5.5,4.0,6.0,,0.0,0,Em fase,0,0.0,2.0,False,0
RA-726,2022,0.0,H,7.0,Feminino,2022,0,Escola Pública,Pública,Ágata,6.985,10.0,4.4,7.5,10.0,7.5,,6.583,5.8,3.0,,0.0,0,Em fase,0,0.0,2.0,False,0
